id,name
draft,轮抽系列
core_set,核心系列
what_lies_ahead,前途未卜
trace_amount,重重追踪
cyber_exodus,赛博迁徙
a_study_in_static,静态研究
humanitys_shadow,人性阴影
future_proof,未来考验
creation_and_control,创造与掌控
opening_moves,起手开局
second_thoughts,深思熟虑
mala_tempora,恶劣时期
true_colors,真实面目
fear_and_loathing,恐惧与憎恶
double_time,双重时刻
honor_and_profit,荣耀与利益
upstalk,上行之旅
the_spaces_between,往来之隙
first_contact,初遇之际
up_and_over,攀越之路
all_that_remains,遗迹之地
the_source,网络之源
order_and_chaos,秩序与混乱
the_valley,生科谷
breaker_bay,碎浪湾
chrome_city,铬金城
the_underway,暗底区
old_hollywood,老莱坞
the_universe_of_tomorrow,未来域
data_and_destiny,数据与命运
kala_ghoda,卡拉哥达
business_first,商务为先
democracy_and_dogma,民主与教条
salsette_island,撒尔塞特
the_liberated_mind,自由心智
fear_the_masses,群众可畏
23_seconds,二十三秒
blood_money,不义之财
escalation,事态升级
intervention,介入冲突
martial_law,军事管制
quorum,共商出路
daedalus_complex,代达罗斯
station_one,一号车站
terminal_directive_cards,终极指令
terminal_directive_campaign,终极指令战役
earths_scion,地球子孙
blood_and_water,水债血偿
free_mars,火独运动
crimson_dust,绯尘来袭
revised_core_set,核心系列修订版
sovereign_sight,主权视野
down_the_white_nile,顺流而下
council_of_the_crest,顶峰议会
the_devil_and_the_dragon,恶魔与巨龙
whispers_in_nalubaale,湖中低语
kampala_ascendent,坎帕拉崛起
reign_and_reverie,统治与空想
magnum_opus,巨作
napd_multiplayer,NAPD 多人模式
system_core_2019,系统核心 2019
downfall,坍落
magnum_opus_reprint,巨作重印版
uprising_booster_pack,起义增强包
uprising,起义
salvaged_memories,记忆寻回
system_gateway,核心网关
system_update_2021,系统革新 2021
midnight_sun_booster_pack,极昼增强包
midnight_sun,极昼
parhelion,幻日
the_automata_initiative,自动机倡议
rebellion_without_rehearsal,即兴叛乱
elevation,仰望
