id,name,text
15_minutes,15分钟,"[click]: 将15分钟洗入研发中心。当15分钟在潜袭者的分数区时，公司能触发本能力。
每套牌组限制1张。"
24_7_news_cycle,24/7新闻循环,"作为打出24/7新闻循环的额外费用，废除一个议案。
结算你分数区中一个议案的“计分时”能力。"
419_amoral_scammer,,
a_teia_ip_recovery,密网: 知识产权回收,"限制2台远程服务器。
每回合你第一次安装一张卡牌到一台远程服务器的根目录或保护一台远程服务器时，你可以从总部安装1张卡牌到另一台远程服务器的根目录或保护另一台远程服务器，忽略所有的费用。你本回合不能将后者计分。"
aaron_marron,亚伦·马伦,"每当一个议案被计分或窃取时，放置2枚能量指示物到亚伦·马伦上。
<strong>所附载的能量指示物</strong>: 移除1枚锁定标记并补一张卡牌。"
abaasy,阿巴契,"每回合你第一次仅使用本程序破解所遭遇防火墙上的所有子进程时，你可以从你的操控器销毁1张卡牌，以抽1张卡牌。
对接 → <strong>1[credit]:</strong> 破解1条<strong>门禁</strong>子进程。
<strong>2[credit]:</strong> 强度+2。"
abagnale,阿巴内尔,"对接 → <strong>1[credit]:</strong> 破解1条<strong>门禁</strong>子进程。
<strong>2[credit]:</strong> 强度+2。
[trash]<strong>:</strong> 略过你当前正在遭遇的<strong>门禁</strong>。"
ablative_barrier,烧蚀屏障,"威胁3 → 在对本服务器的潜袭中，当你激活本防火墙时，你可以从总部或档案库安装1张非议案卡牌到另一台服务器的根目录或保护另一台服务器。<em>（本能力在任一玩家有3点或更多议案分数时生效。）</em>
[subroutine] 终止本次潜袭。"
above_the_law,凌驾法律,"当你将本议案计分时，你可以销毁1个已安装的资源。
每套牌组限制1张。"
acacia,,
accelerated_beta_test,加速版本测试,当你用加速版本测试计分时，你可以查看研发中心顶端的三张卡牌。如果其中有任何防火墙，你可以安装并激活它们，忽略所有的费用。销毁余下你所查看的卡牌。
accelerated_diagnostics,加速诊断,查看研发中心顶端的三张卡牌。如果其中有任何事务，你可以打出它们（支付它们的打出费用），忽略任何额外的费用。销毁余下你所查看的未打出的卡牌。
access_to_globalsec,接入全球保卫组,+1[link]
account_siphon,账户虹吸,对总部进行一次潜袭。如果成功，你可以迫使公司失去最多5[credit]，代替读取卡牌，然后拿取2枚锁定标记，并且公司每失去1信用点你获得2[credit]。
acme_consulting_the_truth_you_need,,
active_policing,实时监管,"只有潜袭者在其上回合窃取或销毁过公司卡牌时，才能打出。
在你结算本事务后，结束你的行动阶段。
你可以从总部安装1张卡牌。潜袭者在其下回合获得的[click]数量-1。
威胁3 → 你可以支付2[credit]。如果你如此做，潜袭者在其下回合获得的[click]数量-1。<em>（本能力在任一玩家有3点或更多议案分数时生效。）</em>"
activist_support,激进者的援助,"当公司的回合开始时，如果你没有锁定标记，拿取1枚锁定标记。
当你的回合开始时，如果公司没有负面声誉标记，给予公司1枚负面声誉标记。"
ad_blitz,广告闪电战,"作为打出本事务的额外费用，花费[click]。
如可能，从档案库和/或总部安装并激活（支付所有的费用）X个<strong>广告</strong>。"
adam_compulsive_hacker,亚当: 强迫性黑客,你游戏开始时具有三张已安装的不同的<strong>指令</strong>卡牌（这些卡牌不视为你牌组的一部分）。
adept,,
adjusted_chronotype,调正时型,每回合你第一次失去[click]时，获得[click]。
adjusted_matrix,调整矩阵,将调整矩阵安装到一个<strong>破解器</strong>上。被附载的<strong>破解器</strong>获得<strong>智能模块</strong>和“[click]: 破解防火墙子进程。”
adonis_campaign,,
adrian_seis,阿德里安·赛斯,"每当潜袭者对本服务器进行一次成功的潜袭时，进行一次灵能博弈。<em>（双方玩家秘密决定0-2的数值，然后同时宣告并花费所声明数值的[credit]。）</em>如果二者数值不同，在本次潜袭的剩余时间内，潜袭者不能读取除本升级以外的卡牌。如果二者数值相同，在本次潜袭的剩余时间内，潜袭者不能读取本升级。
当你的回合结束时，你可以将本升级转移到另一台服务器的根目录。"
advanced_assembly_lines,高级装配线,"当你激活高级装配线时，获得3[credit]。
[trash]: 从总部安装一张非议案卡牌（支付安装费用）。你不能在一次潜袭中使用本能力。"
advanced_concept_hopper,超前概念飞跃车,每回合潜袭者第一次发起潜袭时，你可以补一张卡牌或获得1[credit]。
aeneas_informant,,
aesops_pawnshop,伊索的典当铺,当你的回合开始时，你可以销毁另1张你已安装的卡牌。如果你如此做，获得3[credit]。
afshar,阿夫沙尔,"只要本防火墙保护总部，潜袭者每次遭遇中便不能破解超过1条本防火墙上的印刷子进程。
[subroutine] 潜袭者失去2[credit]。
[subroutine] 终止本次潜袭。"
afterimage,残影,"每当你遭遇一层<strong>警报</strong>时，你可以支付2[credit]以略过之。本能力每回合仅限使用一次，且仅能花费<strong>隐匿</strong>卡牌上的信用点来使用。
对接 → <strong>1[credit]:</strong> 破解最多2条<strong>警报</strong>子进程。
<strong>1[credit]:</strong> 强度+2。本能力仅能花费<strong>隐匿</strong>卡牌上的信用点来使用。"
aggressive_negotiation,强制谈判,"如果你本回合已用过一个议案计分，才能打出。
在研发中心搜寻一张卡牌并将其加入总部。将研发中心重洗。"
aggressive_secretary,,
aghora,无惧,"1[credit]: 破解激活费用等于或大于5的一层防火墙上的子进程。
1[credit]: 强度+1。
2[credit]: 将无惧与你操控器中的一个<strong>提婆</strong>程序互换。"
aginfusion_new_miracles_for_a_new_world,灌注农业: 新世界的新奇迹,每回合一次，你可以销毁一层被接驳的防火墙以选择另一台服务器，代替激活它。潜袭者现在开始对该服务器进行潜袭，并且如有最外层防火墙，则遭遇它。
aiki,合气,"[subroutine] 你和潜袭者秘密花费0[credit]，1[credit]或2[credit]。展示所花费的信用点。如果你和潜袭者花费了不同数量的信用点，潜袭者补两张卡牌。
[subroutine] 造成1点网域伤害。
[subroutine] 造成1点网域伤害。"
aimor,,
airbladex_jsrf_ed,天空之刃X（街头涂鸦未来版）,"当你安装本硬件时，填装3枚能量指示物到本硬件上。当其清空时，销毁之。
[interrupt] → <strong>所附载的能量指示物:</strong> 防止1点网域伤害。本能力仅能在潜袭中使用。
[interrupt] → <strong>所附载的能量指示物:</strong> 防止一层防火墙上的一项“遭遇时”能力。"
akamatsu_mem_chip,,
akhet,地平线,"你可以推进本防火墙。
只要所附载的推进指示物有3枚或更多，本防火墙的强度+3，且每次遭遇中潜袭者不能破解超过1条本防火墙上的印刷子进程。
[subroutine] 获得1[credit]。放置1枚推进指示物到一张已安装的卡牌上。
[subroutine] 终止本次潜袭。"
akiko_nisei_head_case,,
akitaro_watanabe,渡边秋太郎,保护本服务器的防火墙的激活费用减2。
akshara_sareen,阿刹拉·萨林,每位玩家在他/她的回合有一个额外的[click]用来花费。
alarm_clock,闹钟,当你的回合开始时，你可以潜袭总部。本次潜袭中你第一次遭遇一层防火墙时，你可以花费[click][click]，以略过该防火墙。
alexa_belsky,艾里珊·别尔斯基,[trash]: 将总部中的所有卡牌洗入研发中心。潜袭者可以支付任意数量的信用点，并且其每支付2[credit]，防止总部中的一张随机卡牌被洗入研发中心。
algernon,,
algo_trading,算法交易,"当你的回合开始时，你可以从你的信用池中转移最多3[credit]到算法交易上。
当你的回合开始时，如果算法交易具有至少6[credit]，从银行中放置2[credit]到本卡牌上。
[click], [trash]: 从算法交易上拿取所有的信用点。"
alias,化名,"1[credit]: 破解 <strong>警报</strong>子进程。
2[credit]: 强度+3。
化名不能对保护远程服务器的防火墙使用。"
alice_merchant_clan_agitator,爱丽丝·默切特: 部落煽动者,每回合你第一次对档案库进行成功的潜袭时，公司必须从总部销毁一张卡牌。
alix_t4lb07,阿历克斯T4LB07,"每当你安装一张卡牌时，放置1枚能量指示物到阿历克斯T4LB07上。
[click], [trash]: 阿历克斯T4LB07上每有1枚能量指示物，获得2[credit]。"
all_nighter,,
allele_repression,等位基因抑制,"等位基因抑制能被推进。
[trash]: 等位基因抑制上每有1枚推进标记，将总部中的一张卡牌与档案库中的一张卡牌互换。"
alpha,阿尔法,"1[credit]: 破解防火墙子进程。
1[credit]: 强度+1。
阿尔法仅能对保护服务器的最外层防火墙使用。"
always_be_running,始终运行,"你每回合的第一个[click]必须用于进行一次潜袭或打出一个<strong>潜袭</strong>事件。
每回合一次，你能花费[click][click]，以破解当前遭遇的一层防火墙上的一个子进程。"
always_have_a_backup_plan,有备无患,潜袭任意一台服务器。当本次潜袭结束时，如果潜袭失败，你可以再次潜袭该服务器，忽略所有的额外费用。在第二次潜袭中，每当你遭遇在第一次潜袭中遭遇的最后一层防火墙时，略过之。
amani_senai,,
amanuensis,誊写员,"+1[mu]
当你的回合结束时，如果你被锁定，放置1枚能量指示物到本硬件上。
每当你移除1枚或更多锁定标记时，你可以移除1枚所附载的能量指示物，以抽2张卡牌。
每位玩家限制1个<strong>控制台</strong>。"
amaze_amusements,惊奇迷乐园,持久 → 每当对本服务器的一次潜袭结束时，如果潜袭者在本次潜袭中窃取过议案，给予潜袭者2枚锁定标记。<em>（如果潜袭者读取本卡牌时将其销毁，本能力在本次潜袭的剩余时间内依然有效。）</em>
amazon_industrial_zone,亚马逊工业区,"每当你安装一层保护本服务器的防火墙时，你可以立即激活它，其激活费用减3。
每台服务器限制1个<strong>区域</strong>。"
amelia_earhart,爱蜜莉亚·埃尔哈特,"每当对总部或研发中心的一次潜袭结束时，如果你在本次潜袭中读取过3张或更多卡牌，放置1枚能量指示物到本资源上。
当你的回合开始时，你可以移除3枚所附载的能量指示物并销毁本资源。如果你如此做，公司失去10[credit]。"
amina,,
amped_up,嗑药提神,获得[click][click][click]并受到1点脑部伤害（不能被防止）。
ampere_cybernetics_for_anyone,安培: 全民的义体,"你的牌组中每种同名卡牌限1张。
你的牌组中可以包含来自每个公司派系的最多2张不同议案。"
an_offer_you_cant_refuse,难拒之邀,选择一台中央服务器。潜袭者可以对该服务器发起一次潜袭，本次潜袭中他/她不能退出。否则，将难拒之邀加入你的分数区，作为一个价值1点议案分数的议案。
analog_dreamers,模拟梦想家,[click]: 对研发中心进行一次潜袭。如果成功，你可以选择一台服务器内一张未激活的并且不具有推进标记的非防火墙卡牌，代替读取卡牌。公司将该卡牌洗入研发中心。
anansi,,
ancestral_imager,祖先成像,每当潜袭者退出时，造成1点网域伤害。
andromeda_dispossessed_ristie,安德洛墨达: 无产贵族,你补九张初始手牌。
anemone,海葵,"在对本服务器的潜袭中，当你激活本防火墙时，你可以从总部销毁1张卡牌，以造成2点网域伤害。
[subroutine] 造成1点网域伤害。"
