id,name
draft,轮抽系列
core_set,核心系列
genesis,创纪元
creation_and_control,创造与掌控
spin,扭曲真相
honor_and_profit,荣耀与利益
lunar,月行
order_and_chaos,秩序与混乱
sansan,圣加州
data_and_destiny,数据与命运
mumbad,孟巴德
flashpoint,闪点
red_sand,红砂
terminal_directive,终极指令
revised_core_set,核心系列修订版
kitara,基塔拉
reign_and_reverie,统治与空想
magnum_opus,巨作
napd_multiplayer,NAPD 多人模式
system_core_2019,系统核心 2019
ashes,余烬
magnum_opus_reprint,巨作重印版
salvaged_memories,记忆寻回
system_gateway,核心网关
system_update_2021,系统革新 2021
borealis,北极光
liberation,解放
elevation,仰望
