id,flavor
11001,
11002,
11003,有时细小的数据最为重要。
11004,“相信我，等你的钱多到你不在乎的时候，通常就是崩溃的前奏。”
11005,
11006,在潜袭中，正如在现实中，所有要素环环相扣。
11007,
11008,<strong>由2014年世冠赛冠军Dan D'Argenio设计</strong>
11009,他们称之为“running”，因为接入使人身心俱疲。
11010,我预见到万物的终结…
11011,
11012,“你听我说，腾出应急账户。有大事要发生；大海啸之后我还没见过像这样的反应。天啊，那尖叫声…”
11013,
11014,“你的错误在于以为这只是一场生意，但其实这是一场战争。”
11015,嫌疑人。名词。即将被公司给*了的人。 —反叛者的字典，谁管第几卷
11016,
11017,
11018,“值此非常时期”的隐义是“这就是新规则”。
11019,暴跌的股票对股东不利，但对公司而言未必。
11020,金钱就是力量。
02061,“这玩意救过我不止一次，不过会造成不自在的既视感。” —魔术师
02062,它总是有再度劈中的奇迹。
02063,“他们是搞破坏的无脑工具，其它方面几乎一无是处。尽管他们人还不错。我有一些最好的朋友就是清洗者。” —吉·“噪音”·雷利
02064,双倍的乐趣。
02065,赛博空间中最强的胶水。
02066,如此意外。
02067,“我不管研究怎么说。依我的经验，我可以每小时喝掉三罐迪燃，在心脏停摆前持续工作长达十二小时。” —听闻于第十一个小时
02068,很少有公司职员能像清扫工那样拥有各处清扫的广泛安全许可。大部分公司可笑地认为清扫工们过于愚笨，不懂得如何以此为利。
02069,“我的老板会嘉奖高质量的工作。如果你明白什么对你有利，你就继续好好干。”
02070,绿色二级是一个职员能获得的最高安全许可。应该说，合法获得的。
02071,时间只会悄悄溜走。
02072,"寺钟不扰樱花落，
寂静又平和
—川上不白"
02073,
02074,一物终结之处，便是他物开始之地。
02075,这就是网络。我们在此工作。我们是警察。
02076,建设赛博空间。
02077,政府合约是很难被破坏的。
02078,汝不得通过。
02079,
02080,看起来它不像是一个几十亿资产公司的总部。估计是因为它真的不是。
06081,“'它能做什么？'任何我想得要命让它去做的。” —总裁哈斯
06082,人马座许以远见，却只能招致悔念。
06083,“只知胜而不知败，必害其身…” —德川家康
06084,双子座许以满足，却只能施加痛楚。
06085,“我们已经收到了来自芝路易斯的十七箱货物。我们将在签好许可协议的当天在商店售卖。”
06086,“每天一早都会有全新的投资交易！瞄准关键并掌控你的未来！”
06087,“我们的新屏障将建立在敌人的残垣上。”
06088,“再来一遍，但这回我希望看到你咬字模糊点。或许来点唾沫横飞。”
06089,“太诡异了。我再次袭击服务器，却好像有层全然不同的防火墙在等着我。我的根后台报销了。我真不该将它们嵌套七层之多。”
06090,他最后看见的东西是捕手脖颈上异兽的纹身。它有着羊头，狮身以及蛇尾。接着他的头上就被扣了袋子，唯余一片黑暗。
06091,他即手执智慧魔杖之士。
06092,
06093,“有时你仅需一个瓮中之脑。” —精神0袖
06094,“他只爱吃活食。” —麦斯X
06095,“我会说我做这个是为了挑战，但事实是这并不难。”
06096,“它能帮你取来各种东西…但假如它喜欢那东西，你最好有所对策。” —伊恩·斯特林
06097,“他们能把任何东西送达任何地方。不过，假如你要运送某位重要人士，请务必要求提供透气孔。”
06098,数位体公司由设计游戏起家。最终他们每年只是重新设计同一款游戏，并为了打击盗版创造出一款该游戏的专用机。利润暴涨十倍。
06099,“它绝对是豆腐嘴刀子芯。” —混沌希尔瑞
06100,
12061,雅罗涅夫的惹事人。
12062,
12063,
12064,
12065,
12066,
12067,
12068,
12069,
12070,“善用压力能引起最深刻的变革。” —天人学会实习指示
12071,
12072,
12073,
12074,
12075,
12076,“我得到了一块石头！” —查尔斯·“狂犬”·布朗，彗星骑师
12077,
12078,
12079,“黄埔是火星上最大和最刻薄的矿业地企。他们用尸体与废品回填的速度和开采一样快。” —爱丽丝·默切特
12080,
11021,
11022,“二十三秒乐趣多。” —太空喵公主
11023,等式平衡。
11024,“在充分理解其想说的内容之前，叫别人疯子是不明智的。” —奥马尔·姜
11025,这程序就像只猎禽，只要她负担得起…目前如此。
11026,“最好的一点是，它合法！” —可汗
11027,
11028,一个安全漏洞一旦被发现，在打上补丁前，利用它的时机是有限的。潜袭者称之为“开放期”。
11029,
11030,“即将为您带来的是前线的实况，现在，除非他们杀了我…”
11031,觊夺我的财宝必将招致我的愤怒。
11032,首先，融入攻击者。然后，控制攻击。
11033,“我是栄子。事已办妥。”
11034,“开卖了！！买入白金，远离TT信用点！它有毒！”
11035,等到叶梅廖夫被谋害的报道出来时，早已有了各种版本，冲击着所有的公司。
11036,
11037,朋友之间，一点保险欺诈算得了什么？
11038,实力造就领袖。
11039,她从没听到过自己的爸爸们吵成这样。也从不想听到。她愿意付出自己的一切来停止这争吵。
11040,随着金钱向顶层汇集，权力也随之而去，直到出现两套法律：他们用的，和我们用的。 —奥马尔·姜，《闪点》
08021,
08022,借宿朋友家通常意味着睡长沙发。现在，这意味着睡服务器农场。
08023,“你能协助人间会社塑造未来。你的未来。”
08024,
08025,
08026,
08027,
08028,“只要你一下载讲课的源文件，这项程序就会进行统计分析并提取出最重要的概念。” —海莉·开普兰
08029,
08030,“已经整整好几代人未曾离开大都会的中心了。你真该瞧瞧他们初次看见群星时的表情。” —达伦·芬，天文学教授
08031,“要做的太多。时间却太少。”
08032,“我的研究能为贵公司带来数十亿的利润。当然，也能拯救生命。”
08033,通过提出将电脑教化为人类的理论，阿兰·图灵奠定了人工智能的基础。
08034,通过描绘DNA的结构，克里克及其同事创立了现代遗传学。
08035,“我的脚本能在0.12秒内完成小林算法。”
08036,人尽皆知，黑名单不存在。那是违法的。但鲜有人知，某个名单存在，而名列其上可能断送职业生涯。
08037,通过发明西方活字印刷术，约翰尼斯·古腾堡引燃了第一次信息革命。
08038,求学的花费有时候最令人胃疼。
08039,通过建造首例巴克网结构，一面千呎长墙，梅鲁·马蒂突破了物理学的界限。
08040,在大地震之后，房地产价值剧变。有些人发现他们已成为海滨物业的所有者。其余人的则被淹没。
10020,“不！别在这里引爆！”
10021,
10022,<strong>由2013年世冠赛冠军Jens Erickson设计</strong>
10023,“既然如此完好的证据能拿去卖，你为何还要处理掉呢？”
10024,
10025,“我们或许会愤怒，却并不感到意外。” —桑德
10026,“公司可能比我们中任何一人都强，但却敌不过我们的集体力量。” —阿刹拉·萨林
10027,
10028,
10029,
10030,食物决定你我。
10031,造价不菲但效率显著高于传统耕作的农业复合体，是食品行业必然公司化的标志。
10032,“我们帮助他人，同时也帮助了自己。” —公众项目副总裁，索莱雅·苏雷什
10033,数据才是孟巴德古吉拉特区出口量最大的货物之一，而非食品。
10034,
10035,
10036,
10037,“全都能卖。全都会买。全体共赢。”
10038,
08041,对于彼端的管理员来说，最强力的脚本无异于魔法。
08042,植入式脑机接口，或称“颅骨接口”，是最为常见的非医疗必需的强化型义体。
08043,
08044,挑选改造师也许是你做的最后一个决定。如果你找到了一位好的，受用终身。
08045,
08046,
08047,
08048,有时进步意味着回到过去。
08049,颅骨不是一块骨头，而是由22块组成。这项手术甚至比听起来更复杂。
08050,定义自我。
08051,强化型义体落入坏人手中会很危险。
08052,“记得联邦通信委员会那些关于禁止创造有害接口的规定吗？不记得？啊，我想那是在你的年代以前吧。” —凯兰·海因里希，资深程序员
08053,筑奥克敦若磐石。
08054,“生化人能识别出对方的意识，却无法识别出自己的。”
08055,
08056,“当你的通讯被扰乱，你和你的资源隔离开来。一场袭击必然接踵而至。” —《战术手册》
08057,“管理员不仅仅是公司这台大机器里的小齿轮。他们也有梦想—和梦魇—同我们其他人一样。” —凯特·“麦克”·麦卡弗瑞
08058,
08059,如果你不能买通市议会，那就新建一座城。
08060,
01001,“看着，这会很有趣哦。”
01002,值得去做的事情值得再做。
01003,你可曾把东西点燃而只是为了看它燃烧？
01004,
01005,缺了它，我感觉就像浑身赤裸。
01006,“我的小小魔法咒语书。” —魔术师
01007,“如果第一次没成功，提高强度再试。” —精神0袖
01008,
01009,
01010,看起来就像是偶发的数据包丢失，其实不然。
01011,11月5日这天，所有人将会看到公司寡头们的肮脏阴谋。
01012,
01013,火焰与毒液…
01014,犹格.0数据库是一个含嗅探、欺骗和登入密钥的多来源编译。如果开门的密钥在数据库中，你便可顺利进入。否则，就换一道门吧！
01015,在大众意识里，公司与潜袭者之间隔着明显的鸿沟。在真实世界里，情况却有些模糊。公司需要最优秀的黑客来运作他们的网络，其中部分是喜欢固定工资的原潜袭者。但有时情况会发展到另一面，有人从公司内部做出了这样的东西。
01016,“当你想让脑袋摆脱一堆破事，然后扎进另一堆破事时，这是最好的去处。” —吉·“噪音”·雷利
01017,“我当然是偷富人的，他们拿了所有的钱。”
01018,
01019,“嘿小子，你把他惹火了，很快就会被整得很惨。这周围全是一些可怜虫。不过幸好我搞到了正需要的东西…”
01020,随着房间里的抓狂情绪向企业链高层传递，一种令人不安的失业恐惧在底下弥漫开来。
01021,“嘿，听着，我不是要你做什么危险的事情。你只要让我进入大楼。另外告诉我哪个房间的防卫最差。以及请别再说是'厕所'。”
01022,令人兴奋的包裹，沮丧而缓慢地越过太平洋，最终在几个小时后抵达…
01023,“稍作准备才能走得长远。” —加布里埃尔·圣地亚哥
01024,
01025,
01026,
01027,你会先感觉到忍者才能看到忍者，如果你还能看到的话。
01028,“代码并不重要，代码会把你带去哪里才是重要的。” —精神0袖
01029,
01030,“我那个室友，他有个表亲的大学女朋友的兄弟的密友是个瘾君子，而这个瘾君子的老妈曾住过这儿。所以没错，的确有些关联。” - 雷兹·“石拳”·S.
01031,越阴暗的商贩，开价越高。但除非太过阴暗的商贩，他们在拿了你的货之后可能会有隐含的附加费用。
01032,"“我感觉我们来错地方了，弗兰克。”
“为什么这么说，D？”
“看看卷发夹。”"
01033,“你在听吗？”
01034,迪燃给你火力。
01035,自家创造的程序无可取代。它是在熬夜、麦片条和单纯的决心里培养长大。还有，它很便宜。
01036,“有些专家有很棒的直觉，但他们却看不透数据，看不到矩阵。” —艾丽·“浓烟”·斯科娃
01037,“你知道，在那一刻，当整个世界除了你和你的改造物之外全都消失不见，你的改造物就是世界。”
01038,赤松公司基于三条原则创立：第一，制造市场上最强劲的芯片；第二，盈利；第三，作为非法的神经仿生体的前端服务商。最后一条原则可能解释了他们强大的品牌忠诚度。
01039,它并不是无穷无尽，它只是让你有这种感觉。
01040,这里放个Z循环，那里放个皮层波动…
01041,
01042,“这叫'蛮力冲击'，跟百年前一样好用。” —凯特·“麦克”·麦卡弗瑞
01043,它可以切开最繁杂的数据死结。
